"neo_level","n_facilities","eligible_rate","sd_eligible","se_eligible"
"Level I",42,0.16994289044289,0.262321836004171,0.0404771380636501
"Level II",100,0.145732051037898,0.318692356641665,0.0318692356641665
"Level III",63,0.215638133940182,0.326567269902594,0.0411436086902653
